0	1	2	3	4	5	6
41.0	1179.0	93.2	25.0	96.0	100.0	7.5
55.0	211.0	5.9	208.0	80.0	90.0	7.1
52.0	644.0	26.3	106.0	25.0	25.0	10.60000038
50.0	783.0	21.3	89.0	12.0		8.3
44.0	198.0	1.7	88.0		70.0	13.3
32.0	521.0	77.6	61.0	74.0	81.0	11.5
58.0	1516.0	234.8	105.0	80.0	90.0	7.0
23.0	1268.0	72.5	35.0	37.0	80.0	7.8
55.0	319.0	1.2	84.0	26.0	90.0	10.4
38.0	405.0	36.0	30.0	76.0	100.0	11.1
53.0	1008.0	1.4	231.0	11.0	97.0	9.4
51.0	391.0	0.9	178.0	37.0	90.0	13.6
60.0	243.0	2.2	78.0	8.0	40.0	7.3
40.0	519.0	47.5	145.0	45.0	45.0	8.699999809
43.0	265.0	2.3	121.0	60.0	76.0	10.6
62.0		76.3	40.0		1.5	9.1
49.0	451.0	24.6	74.0	67.0	89.5	5.9
47.0	1109.0	65.0	71.0	1.0	84.0	10.69999981
20.0	136.0	1.7	82.0	0.0	50.0	9.5
38.0	920.0	8.4	122.0	20.0	80.0	7.599999905
45.0	227.0	4.7	138.0	0.0	20.0	13.30000019
38.0	160.0	2.4	71.0	8.0	34.0	10.5
48.0	590.0	29.1	12.0	62.0		9.5
18.0	154.0	2.0	367.0	20.0	96.0	10.30000019
25.0	1785.0	18.0	41.0	56.0	80.0	8.8
48.0	530.0	9.2	26.0	18.0	40.0	9.4
39.0	1200.0	3.8	16.0	25.0	66.0	6.0
57.0	183.0	8.4	144.0	76.0	35.0	10.2
49.0	405.0	17.9	60.0	22.0	100.0	7.3
47.0	1244.0	3.0	42.0	6.0	90.0	10.9
40.0	329.0	24.75	234.0	60.0	85.0	7.699999809
48.0	381.0	82.7	40.0	89.0	88.0	7.300000191
37.0	864.0	36.3	5.0	76.0	90.0	6.6
47.0	563.0	43.5	35.0	42.0	52.0	8.899999619
21.0	377.0	8.0	128.0	20.0	95.0	7.800000191
34.0	481.0	19.5	48.0	60.0	90.0	7.599999905
59.0	587.0	126.5	96.0	3.0	52.0	12.2
61.0	1013.0	88.0	378.0	83.0	60.0	8.600000381
21.0	1143.0	88.8	85.0	30.0	70.0	10.80000019
39.0	599.0	25.1	71.0	77.0	29.0	8.7
43.0	257.0	3.5	47.0	70.0	62.0	9.8
35.0	1536.0	132.9	301.0	93.0	87.0	7.1
55.0	635.0	3.5	470.0	18.0	50.0	8.399999619
39.0	177.0	3.2	187.0	13.0	80.0	9.7
63.0	125.0	5.0	12.0	2.0	60.0	7.1
51.0	1672.0	65.9	17.0	4.0	47.0	10.6
53.0	193.0	5.1	81.0	38.0	35.0	11.3
56.0	919.0	2.6	105.0	46.0	49.0	8.399999619
59.0	176.0	1.7	105.0		40.0	9.699999809
57.0	460.0	46.9	39.0	9.0	26.0	8.899999619
60.0	1424.0	152.3	39.0	52.0	57.0	8.9
24.0	413.0	31.2	50.0	18.0	30.0	10.3
61.0	234.0	9.1	111.0	0.0	50.0	8.5
52.0	262.0	32.1	184.0	70.0		8.800000191
57.0	182.0	2.1	56.0		90.0	6.6
23.0	736.0	102.1	38.0	6.0		8.3
21.0	445.0	90.9	18.0	73.0	80.0	5.2
54.0	535.0	72.9	100.0	82.0	90.0	15.0
62.0	154.0	1.6	445.0		50.0	10.3
56.0	337.0	9.62	130.0	44.0	86.0	9.899999619
53.0	227.0	2.9	56.0	64.0	9.0	9.300000191
42.0	331.0	57.5	60.0	16.0	86.0	7.8
26.0	527.0	67.0	80.0	64.0	90.0	8.4
55.0	276.0	2.2	72.0	0.0	20.0	8.300000191
61.0	344.0	9.8	135.0	37.0	91.0	11.1
53.0	409.0	3.96	37.0	67.0	95.0	5.199999809
28.0	245.0	50.0	98.0	79.0	90.0	13.3
40.0	812.0	37.4	242.0	93.0	91.0	8.9
42.0	883.0	91.2	31.0	96.0	80.0	8.0
60.0	240.0	3.9	87.0	4.0	40.0	10.2
42.0	211.0	13.3	31.0	26.0	90.0	10.39999962
51.0	6907.0	87.1	18.0	78.0	78.0	6.8
37.0	323.0	16.0	402.0	4.0		9.9
49.0	819.0	41.7	67.0	46.0	70.0	8.9
34.0	273.0	61.2	124.0	82.0		11.69999981
57.0	1190.0	83.1	15.0	54.0	87.0	8.399999619
57.0	382.0	34.1	91.0	85.0	40.0	8.3
32.0	121.0	2.6	40.0	1.0	25.0	13.10000038
49.0	442.0	15.9	131.0	0.0		9.399999619
56.0	230.0	2.1	88.0	18.0	90.0	6.800000191
55.0		1.9	121.0	4.0	79.0	5.6
39.0	528.0	17.8	54.0	19.0	25.0	7.300000191
20.0	762.0	51.6	91.0	73.0	80.0	14.6
61.0	625.0	22.4	30.0	70.0	90.0	8.6
46.0	880.0	2.9	23.0	8.0	90.0	7.7
27.0	766.0	2.23	119.0	27.0	88.0	8.149999619
56.0	445.0	2.8	132.0	30.0	42.0	9.8
51.0	393.0	8.2	545.0	49.0	40.0	7.3
54.0	1410.0	7.3	16.0	52.0	24.0	10.69999981
47.0	674.0	28.7	70.0	53.0	90.0	10.5
46.0	307.0	15.0	145.0	56.0	59.0	9.5
46.0	1109.0	89.5	44.0	33.0		5.199999809
44.0	379.0	24.9	119.0	69.0	90.0	7.3
59.0	409.0	8.3	64.0	87.0	40.0	9.8
45.0	396.0	4.4	18.0	70.0	80.0	8.4
52.0	525.0	11.7	45.0	90.0	91.0	9.199999809
44.0	225.0	1.6	30.0	0.0	15.0	5.9
32.0	283.0	7.8	20.0	50.0	90.0	5.099999905
50.0	733.0	18.3	16.0	80.0	83.0	7.7
47.0	1196.0	126.3	72.0	95.0	80.0	10.8
35.0	388.0	81.6	20.0	100.0	100.0	6.3
51.0	1009.0	33.7	43.0	80.0	68.0	9.1
36.0	501.0	38.4	90.0	27.0	70.0	10.8
23.0	1864.0	19.8	97.0		25.0	8.7
40.0	276.0	1.6	54.0	44.0	95.0	8.0
47.0	587.0	11.1	34.0	34.0		9.0
59.0	537.0	139.6	15.0	97.0	80.0	7.199999809
48.0	223.0	3.5	130.0	11.0	70.0	8.8
46.0	261.0	4.4	14.0	43.0	53.0	9.6
50.0	236.0	5.2	160.0	23.0	40.0	9.6
34.0	857.0	105.2	252.0	66.0	90.0	9.0
57.0	357.0	10.2	66.0	52.0	90.0	9.699999809
34.0	1015.0	36.9	23.0	35.0	85.0	8.9
44.0	304.0	1.5	92.0	0.0	30.0	9.5
39.0	901.0	67.9	85.0	88.0	95.0	7.400000095
29.0	316.0	95.5	105.0	88.0	100.0	10.69999981
27.0	703.0	294.9	380.0	84.0	71.0	11.0
23.0	467.0	15.2	44.0	92.0	85.0	10.9
35.0	779.0	69.9	11.0	90.0	91.0	11.69999981
54.0	519.0	9.8	60.0	0.0	30.0	6.8
52.0	420.0	2.1	72.0	4.0	17.0	7.9
37.0	249.0	6.9	178.0	43.0	70.0	15.1
60.0	220.0	3.3	74.0	0.0	34.0	8.9
55.0	182.0	2.3	41.0	0.0	50.0	9.699999809
45.0	522.0	10.8	174.0	33.0	80.0	8.5
60.0	622.0	21.8	13.0	4.0	37.0	5.0
46.0		19.5	23.0	10.0	42.0	8.7
39.0	1095.0	81.7	75.0	79.0	92.0	10.4
21.0	389.0	10.9	78.0	58.0	80.0	9.6
52.0	240.0	4.85	134.0	29.0	39.0	10.89999962
45.0	1497.0	112.0	41.0	58.0	66.0	11.80000019
50.0	505.0	37.2	32.0	58.0	70.0	7.9
64.0	1120.0	19.8	47.0	11.0	70.0	7.5
41.0	675.0	55.5	122.0	33.0	80.0	9.5
53.0	281.0	15.7	180.0	0.0	90.0	11.5
40.0	1641.0	190.1	94.0	7.0	80.0	11.1
62.0	174.0	2.34	72.0	13.0	28.0	11.3
44.0	640.0	52.2	71.0	26.0		8.5
54.0	1705.0	81.9	80.0	52.0	80.0	5.9
40.0	563.0	52.3	47.0	32.0	32.0	9.399999619
49.0	372.0	5.5	35.0	56.0	71.0	7.9
26.0	904.0	73.8	38.0	85.0	85.0	6.599999905
42.0	781.0	141.0	17.0		80.0	10.1
44.0	402.0	4.1	197.0	2.0	21.0	10.7
60.0	366.0	4.6	45.0		20.0	9.0
